capex_broadband,opex_broadband,lifecycle_infrastructure_broadband
0.0,66.69968331035408,66.69968331035408
0.0,1168.014347530051,1168.014347530051
0.0,48.846430091162404,48.846430091162404
0.0,836.4350614646717,836.4350614646717
0.0,62.089005580150314,62.089005580150314
0.0,99.5422461016404,99.5422461016404
0.0,610.914389611869,610.914389611869
0.0,1006.7244135747644,1006.7244135747644
0.0,162.1855391081315,162.1855391081315
0.0,14.774595949088,14.774595949088
0.0,1803.0280428089634,1803.0280428089634
0.0,723.1784636600179,723.1784636600179
0.0,37.538833794604564,37.538833794604564
0.0,28.175450348511305,28.175450348511305
0.0,1490.1798801368282,1490.1798801368282
0.0,22.57467056131171,22.57467056131171
0.0,56.09708154803477,56.09708154803477
0.0,2024.8272969521938,2024.8272969521938
0.0,57.816146562601155,57.816146562601155
0.0,760.0873247596523,760.0873247596523
