name,length
Walnut Street,384.832
Walnut Street,200.61100000000002
Floral Street,138.858
Casavan Avenue,200.12300000000002
Shannon Drive,82.314
Grace Avenue,112.30799999999999
Grace Avenue,136.739
Lincoln Way,110.771
Hartford Turnpike,53.823
Hartford Turnpike,79.11699999999999
Harrington Avenue,249.96099999999993
Harrington Avenue,19.968
Whitney Street,230.453
Nelson Point Road,140.923
Nelson Point Road,226.647
Point Road,169.257
Jamie Lane,178.28199999999998
North Street,233.62099999999998
North Street,225.72999999999996
,534.412
Boylston Street,279.84600000000006
Main Street,175.48000000000002
Main Street,152.112
Colton Lane,647.623
Linda Circle,68.916
Crescent Street,43.099
Crescent Street,233.332
Dawson Circle,103.49
East Avenue,86.28
East Avenue,35.449
Brookway Drive,368.632
Memorial Drive,61.352
Memorial Drive,83.176
Plainfield Avenue,11.013
Boston Turnpike,90.386
Gulf Street,338.4789999999999
Sewell Street,157.73
Audubon Drive,217.42
Audubon Drive,62.291
Ptarmigan Drive,109.223
Tory Drive,142.899
Tory Drive,155.81799999999998
Tory Lane,205.885
Water Street,19.16
"['Jefferson Drive', 'Trowbridge Lane']",241.26800000000003
Hunting Avenue,247.265
Hunting Avenue,99.209
Sias Avenue,74.317
Gordon Road,135.53900000000002
Gordon Road,98.55799999999999
Redland Street,53.489999999999995
Pearl Street,92.252
Walnut Street,87.939
Walnut Street,557.787
Brook Street,635.278
Edgewood Road,171.004
Edgewood Road,125.376
Ferncroft Road,299.749
Hillando Drive,550.0029999999999
Hillando Drive,416.94000000000005
Old Farm Circle,175.33599999999998
Arbor Circle,68.029
Checkerberry Lane,122.94900000000001
Floral Street,192.608
Floral Street,127.38
Tamarack Lane,226.77100000000002
Stratton Drive,51.644999999999996
Van Ness Avenue,92.93
Maple Avenue,44.970000000000006
Maple Avenue,32.045
,80.7
Wachusett Avenue,113.608
Wachusett Avenue,425.983
Bryant Avenue,336.563
Hunting Avenue,269.0779999999999
Hunting Avenue,247.26500000000001
Benjamin Lane,122.59899999999999
Boylston Street,248.31500000000005
Boylston Street,405.9019999999999
Hill Street,204.49799999999993
Olympia Avenue,30.399
Olympia Avenue,23.572
Lake View Avenue,316.745
South Street,21.024
,185.795
South Street,144.366
Clews Street,139.27
Clews Street,234.72200000000004
Holt Street,232.23700000000002
Pinedale Road,296.949
Plainfield Avenue,53.82299999999999
Plainfield Avenue,73.535
Grove Ridge Path,60.022
Francis Avenue,564.53
Paton Road,174.683
Francis Avenue,224.702
,261.061
,74.895
,141.335
Marsh Drive,92.418
Clinton Street,177.72199999999998
Clinton Street,34.542
Harrington Farms Way,255.748
Harrington Farms Way,155.54299999999995
Harrington Farms Way,257.063
Audubon Drive,364.6189999999999
Sandpiper Drive,90.003
Audubon Drive,62.291000000000004
Reuben Circle,47.468
Saybrook Road,76.374
Catalina Drive,176.378
Saybrook Road,116.204
Park Street West,12.167
Shepard Lane,180.52599999999998
Park Street West,100.316
Vega Drive,112.353
Vega Drive,127.965
Mars Drive,211.91199999999998
Carlton Street,76.5
Carlton Street,154.539
Brookway Drive,368.632
Adams Road,171.10000000000002
Grafton Street,97.66799999999999
Grafton Street,226.61399999999998
,39.818
Main Street,32.087
Pine Avenue,166.83499999999998
Olympia Avenue,100.89500000000001
Olympia Avenue,62.589
Pond Street,44.287
Plainfield Avenue,81.895
Plainfield Avenue,53.823
Elm Street,138.23000000000002
Old Mill Road,98.538
Old Mill Road,177.064
Vega Drive,112.353
Venus Drive,230.86700000000002
Venus Drive,286.783
Old Laxfield Road,289.803
Boston Turnpike,504.5899999999999
Elm Street,19.174
Elm Street,28.173
"['Jacob Street', 'Pleasant View Street']",108.862
Pleasant View Street,53.669
Rice Avenue,56.757000000000005
Main Street,90.015
Main Street,142.351
Commonwealth Avenue,129.06399999999996
Oak Street,12.082
Boston Turnpike,336.509
Oak Street,99.031
Crescent Place,114.0
Crescent Street,217.072
Crescent Street,96.118
Crescent Street,217.072
Maple Avenue,49.608
Maple Avenue,107.69600000000001
Deerfield Road,563.1959999999999
Deerfield Road,99.48400000000001
Forest Hill Drive,268.76099999999997
Dickinson Circle,101.164
Hawthorne Road,527.057
Hawthorne Road,271.243
,80.08200000000001
Harrington Farms Way,39.918
Harrington Farms Way,125.12599999999998
Harrington Farms Way,44.047000000000004
Olympia Avenue,55.394
Dewey Road,181.412
Dewey Road,70.684
Olympia Avenue,100.895
Clews Street,133.17399999999998
Hartford Turnpike,176.707
Hartford Turnpike,122.668
Richard Avenue,31.919
Wiltshire Drive,156.221
Richard Avenue,89.92399999999999
Howe Avenue,309.38999999999993
Howe Avenue,93.6
Harris Avenue,171.914
,186.392
Oak Street,19.688
Oak Street,99.031
Oak Street Terrace,48.39
Prospect Street,114.338
Saturn Drive,171.09699999999998
Adin Drive,170.10699999999997
Prospect Street,235.455
Main Street,81.982
Main Street,392.26199999999994
Gage Lane,387.82
Rawson Place,102.842
Barnard Street,334.202
Barnard Street,84.977
Boston Drive,126.021
Saunders Drive,266.795
Saunders Drive,72.196
Boston Drive,166.928
Lear Street,57.150999999999996
Westbrook Crossing Drive,47.336
Westbrook Crossing Drive,78.20599999999999
Cabot Drive,27.271000000000004
Boston Turnpike,234.76099999999997
Chestnut Street,280.706
Walnut Street,29.988
Walnut Street,41.364999999999995
Walnut Street,38.117999999999995
Carriage Hill Road,228.107
Partridge Hill Road,235.39399999999995
Partridge Hill Road,117.99799999999999
Crane Circle,121.82
Amherst Road,166.147
Harrington Avenue,19.968
Harrington Avenue,54.563
Muzzy Avenue,30.984
Howe Avenue,145.699
Howe Avenue,215.422
Hillside Drive,116.489
Deerfield Road,110.90700000000001
Barnard Street,334.202
Barnard Street,166.63400000000001
Cox Lane,87.434
Linwood Drive,155.862
Browne Road,135.529
Boston Turnpike,72.764
Crane Circle,121.82000000000001
Sandpiper Drive,129.031
Sandpiper Drive,90.00300000000001
Elizabeth Street,187.63
Commons Drive,28.74
Commons Drive,64.61500000000001
,348.586
,20.285
Greenbriar Drive,190.84699999999998
Cypress Avenue,161.31599999999997
Cypress Avenue,175.79499999999996
Wesleyan Terrace,158.768
Knowlton Avenue,379.61099999999993
Knowlton Avenue,94.75999999999999
Wesleyan Terrace,108.55600000000001
Neptune Drive,275.683
Neptune Drive,380.826
Aspen Road,192.74400000000006
,205.92799999999997
,115.393
,228.60700000000003
Main Street,232.83900000000003
Main Street,392.262
Tuscan Place,89.205
Walnut Street,306.613
Walnut Hill Lane,135.07799999999997
Walnut Street,152.31799999999998
,118.24300000000001
Brookdale Circle,36.238
Brookdale Circle,25.89
Brookdale Circle,202.034
Hobblebush Road,104.382
Arrowwood Drive,115.245
Arrowwood Drive,149.785
Douglas Circle,55.046
Lake Street,376.53499999999997
Hartford Turnpike,516.648
Hartford Turnpike,324.567
Rolfe Avenue,81.512
"['Rolfe Avenue', 'Stanley Road']",126.53400000000002
Browne Road,86.447
Miller Place,55.223
Walnut Street,35.209999999999994
Walnut Street,104.833
Nursery Drive,278.55400000000003
,45.434000000000005
Grafton Street,199.643
Flagg Road,73.34
Flagg Road,44.022999999999996
George Street,127.11200000000001
Whippoorwill Drive,259.817
Main Boulevard,115.30000000000001
