gid,phasedesig,servicetyp,subtype,geometry
21942,1,UG,Primary,"LINESTRING (600294.1412606459 2928859.8039287915, 600241.5381727846 2928864.633990309, 600171.9088675351 2928895.409373845, 600128.0539459967 2928923.8766036155)"
21945,1,UG,Primary,"LINESTRING (599952.2495675491 2928678.058227624, 599776.8819532548 2928532.0795744085)"
21946,1,UG,Primary,"LINESTRING (600128.0539459967 2928923.8766036155, 600085.9301397825 2928975.7138902596, 600045.9221411861 2929042.0733110085)"
22591,,UG,Primary,"LINESTRING (600772.8605139559 2926956.2276342614, 600773.2491545315 2926933.707496238)"
20359,,UG,Primary,"LINESTRING (600618.0312360624 2942306.804613609, 600620.3612407225 2942304.9446098893)"
20361,,UG,Primary,"LINESTRING (600785.9715719431 2941984.8739697477, 600786.3715727432 2941982.373964748)"
20363,,UG,Primary,"LINESTRING (600855.8917117834 2941743.5734871463, 600856.3617127234 2941741.403482807)"
20544,,UG,Primary,"LINESTRING (596321.2144181555 2937817.3342185826, 596321.8804437608 2937821.7734435466)"
20793,,UG,Primary,"LINESTRING (591401.8060926293 2938535.1287101023, 591366.4603520144 2938405.826850889)"
20887,,UG,Primary,"LINESTRING (596833.5430142479 2935620.7661633994, 596832.1582643164 2935621.4979429957)"
20889,,UG,Primary,"LINESTRING (596619.7954617086 2935518.2373909205, 596618.97003794 2935522.123944248)"
20890,,UG,Primary,"LINESTRING (596479.0756581513 2935482.662865326, 596479.8878909047 2935479.3642174015)"
4036,,OH,Secondary,"LINESTRING (591089.7628566773 2925245.7279748423, 591042.1214069485 2925224.0116942595)"
21953,,UG,Primary,"LINESTRING (602895.2581797264 2929627.6496653305, 602892.5489451642 2929635.365001734, 602843.9815430219 2929665.9480391224, 602797.9146407918 2929702.782326292, 602683.1801640479 2929790.9730347376)"
21955,,UG,Primary,"LINESTRING (602683.1801640479 2929790.9730347376, 602663.560857044 2929758.6588820247, 602636.247704156 2929704.032576249, 602626.630396801 2929649.0215781787, 602632.400781214 2929574.391273105, 602645.4803192167 2929536.6914282735)"
22334,,UG,Primary,"LINESTRING (608454.2541787091 2928393.655523191, 608465.4520948282 2928371.092185136, 608595.4780902662 2928343.586686101)"
22728,,UG,Primary,"LINESTRING (600407.83567167 2942467.842003038, 600408.7408174817 2942480.8949617897)"
22926,,UG,Primary,"LINESTRING (590842.9212528965 2921890.924414834, 590842.3631 2921885.7260999996)"
22927,,UG,Primary,"LINESTRING (590544.35285 2921881.69705, 590544.3845782122 2921886.4955109893)"
22928,,UG,Primary,"LINESTRING (590264.03055 2921802.1179, 590263.350055668 2921808.0929187955)"
21972,,UG,Primary,"LINESTRING (602655.1042919559 2929808.820515562, 602654.3402636165 2929817.1681756494, 602485.8450387586 2929948.5405941173, 602363.7052353512 2930046.0600906955)"
21324,1,UG,Primary,"LINESTRING (605590.6879953694 2932468.0317186373, 605605.6503193772 2932466.2845320133, 605680.3867193896 2932343.08425486, 605778.6407085388 2932216.665824138)"
21974,,UG,Primary,"LINESTRING (602363.7052353512 2930046.0600906955, 602175.0136650483 2930196.85947002, 602107.9329462477 2930246.2443432873)"
21943,1,UG,Primary,"LINESTRING (600128.0539459967 2928923.8766036155, 600061.8868713949 2928811.9311460042, 599996.8738736758 2928728.0682258694, 599952.2495675491 2928678.058227624)"
24067,,UG,Primary,"LINESTRING (608712.062326806 2927403.896000538, 609063.9501917445 2927569.6264451444)"
24068,,UG,Primary,"LINESTRING (609063.9501917445 2927569.6264451444, 609051.5816308175 2927546.614222409)"
24111,,UG,Primary,"LINESTRING (598434.0531181062 2933240.315480631, 598650.3644491658 2933261.6617056197, 598639.6594710846 2933388.4554447657)"
24114,,UG,Primary,"LINESTRING (602912.9273473569 2940599.414271661, 602909.5917725461 2940717.2786912327, 602899.8943002844 2940841.208656708, 602840.8135289319 2940909.8666610923, 602796.175747354 2940862.168003064)"
24127,,UG,Primary,"LINESTRING (604616.4887696696 2941217.7046901435, 604611.5305558458 2941287.1196836764, 604620.7131851988 2941314.6675717356, 604635.8179481099 2941318.006966751, 604627.8552302512 2941341.1951676444, 604645.200196807 2941414.656202469)"
24193,,UG,Primary,"LINESTRING (591264.1387264844 2938042.8366531916, 591186.2026288102 2937756.6018879055)"
24196,,UG,Primary,"LINESTRING (591186.2026288102 2937756.6018879055, 591078.3734809719 2937403.624715376)"
24198,,UG,Primary,"LINESTRING (591078.3734809719 2937403.624715376, 590970.3 2936999.3)"
14720,,UG,Secondary,"LINESTRING (597022.1871487787 2929611.252886654, 597080.0816594682 2929627.5101609654)"
15280,,UG,Secondary,"LINESTRING (602256.9839036519 2918476.826897165, 602244.7650563605 2918497.9561501704)"
2304,3,UG,Primary,"LINESTRING (596730.3802251174 2925837.777495106, 596779.9872432896 2925790.7581792027, 596772.9246367384 2925772.866242607, 596692.3324486495 2925300.3778643366, 596672.2410986901 2925190.5977972965)"
18959,,OH,Secondary,"LINESTRING (589249.2042559241 2924936.17952753, 589302.5759856978 2924951.974240843)"
18960,,OH,Secondary,"LINESTRING (589249.2042559241 2924936.17952753, 589288.564622238 2924987.423154799)"
19039,,OH,Secondary,"LINESTRING (591833.169435898 2924764.0849872506, 591807.5630999999 2924785.4131000005)"
3537,3,UG,Primary,"LINESTRING (597757.9412452157 2931178.3267277507, 597800.0456000911 2931006.9520139038)"
21451,,UG,Primary,"LINESTRING (604178.2980928918 2934298.990026515, 604532.5183582765 2934314.160750458)"
3765,,UG,Secondary,"LINESTRING (589030.441761109 2924522.7520457995, 589017.136880964 2924492.226324022)"
19504,,OH,Secondary,"LINESTRING (595789.6229877293 2921815.465461391, 595596.381726858 2921755.220510065)"
22995,,OH,Secondary,"LINESTRING (595981.6854896491 2921807.2432617117, 596088.423930844 2921838.352983685)"
20001,,UG,Secondary,"LINESTRING (598322.5403892826 2923327.482289119, 598298.3184366141 2923391.5212378786)"
22734,,OH,Primary,"LINESTRING (604407.2367567515 2926922.2708335184, 604411.2458464446 2926922.0658408026)"
22454,3,UG,Primary,"LINESTRING (596672.2410986901 2925190.5977972965, 596667.492046648 2925164.6487569083, 596650.2496112809 2925049.3723588996, 596631.8148593925 2924933.4137146743, 596609.464531783 2924822.2394008236, 596580.9786853599 2924769.034431472, 596540.7754490096 2924771.8285358083)"
24634,,OH,Secondary,"LINESTRING (600757.5084476332 2936782.9198275064, 600800.7440561412 2936789.661434325)"
2,3,OH,Primary,"LINESTRING (587673.84 2926640.37, 587637.68 2926760.8099999996)"
3,3,OH,Primary,"LINESTRING (587718.1 2926491.3500000006, 587673.84 2926640.37)"
1,3,OH,Primary,"LINESTRING (587637.68 2926760.8099999996, 587628.9099999999 2926873.729999999)"
24635,,UG,Secondary,"LINESTRING (600800.7440561412 2936789.661434325, 600818.5467253312 2936894.4831546266)"
4,1,UG,Primary,"LINESTRING (592734.3284627979 2929669.2317053024, 592745.6754102868 2929659.2080591274)"
5,1,UG,Primary,"LINESTRING (592468.1081517636 2929552.967130773, 592468.2744941605 2929566.2832216835)"
24478,3,UG,Primary,"LINESTRING (596116.496869668 2925959.3304534703, 596032.3960736066 2925948.413729989, 596019.7041576428 2926090.5744767557)"
