year,capex_el,opex_el,lifecycle_infrastructure_el,environmental_restoration_el,non_fatal_el,fatal_el,safety_el,total_cost_el,capex_br,opex_br,lifecycle_infrastructure_br,environmental_restoration_br,non_fatal_br,fatal_br,safety_br,total_cost_br
10,64403.86809056687,27853.809951261897,95156.72495373627,0,119324.08238373518,49576.70440147929,168900.78678521447,264057.51173895074,58800.24381971719,14507.550391554843,74817.75170848954,0,109759.50718175338,45602.81993455792,155362.3271163113,230180.07882480085
11,143625.17930874028,27853.8099512619,174993.09330917304,0,119324.08238373518,49576.70440147929,168900.78678521447,343893.8800943875,74361.61612399407,14507.550391554843,90699.47417054186,0,109759.50718175338,45602.81993455792,155362.3271163113,246061.80128685315
12,165735.12363571726,28410.886150287137,197730.39591615868,0,119324.08238373518,49576.70440147929,168900.78678521447,366631.1827013732,115411.99947004319,14797.70139938594,132076.61467752192,0,109759.50718175338,45602.81993455792,155362.3271163113,287438.9417938332
13,182801.54115678606,28410.88615028714,215436.7188828363,0,119324.08238373518,49576.70440147929,168900.78678521447,384337.5056680508,99598.44787631846,14797.701399385938,116596.35538794678,0,109759.50718175338,45602.81993455792,155362.3271163113,271958.68250425806
14,222326.05504840487,28979.103873292883,255613.93632897615,0,119324.08238373518,49576.70440147929,168900.78678521447,424514.7231141906,148495.02801558623,15093.655427373658,165832.8936774471,0,109759.50718175338,45602.81993455792,155362.3271163113,321195.2207937584
15,212650.6862886362,28979.103873292883,246604.3251948189,0,119324.08238373518,49576.70440147929,168900.78678521447,415505.11198003334,104617.1592852592,15093.655427373656,122301.7822603573,0,109759.50718175338,45602.81993455792,155362.3271163113,277664.10937666864
16,258621.56641173613,29558.68595075874,293254.27809604246,0,119324.08238373518,49576.70440147929,168900.78678521447,462155.06488125696,128610.11018342065,15395.52853592113,146648.4256180207,0,109759.50718175338,45602.81993455792,155362.3271163113,302010.752734332
17,268647.9303470715,29558.68595075874,303973.2962650639,0,119324.08238373518,49576.70440147929,168900.78678521447,472874.0830502784,163574.5615018739,15395.52853592113,181973.64324516596,0,109759.50718175338,45602.81993455792,155362.3271163113,337335.97036147723
18,369283.81565889687,30149.859669773916,405315.68889524916,0,119324.08238373518,49576.70440147929,168900.78678521447,574216.4756804636,127541.32184948315,15703.439106639553,146308.38522764106,0,109759.50718175338,45602.81993455792,155362.3271163113,301670.7123439524
19,398465.9771773026,30149.859669773912,435218.487878382,0,119324.08238373518,49576.70440147929,168900.78678521447,604119.2746635964,193036.85884858426,15703.439106639553,212179.26349430534,0,109759.50718175338,45602.81993455792,155362.3271163113,367541.59061061667
20,206809.37620142713,30752.856863169392,244296.93711652808,0,119324.08238373518,49576.70440147929,168900.78678521447,413197.72390174255,157611.17004794176,16017.507888772343,177136.42278657726,0,109759.50718175338,45602.81993455792,155362.3271163113,332498.74990288855
21,237255.02323644861,30752.856863169392,275492.3353698516,0,119324.08238373518,49576.70440147929,168900.78678521447,444393.12215506606,126618.75208264275,16017.507888772345,146534.50987605096,0,109759.50718175338,45602.81993455792,155362.3271163113,301896.8369923622
22,256959.27216831179,31367.91400043278,295961.3305443828,0,119324.08238373518,49576.70440147929,168900.78678521447,464862.1173295973,151379.42601097643,16337.858046547792,171693.4989602528,0,109759.50718175338,45602.81993455792,155362.3271163113,327055.8260765641
23,339605.62933615496,31367.91400043278,379387.7288797474,0,119324.08238373518,49576.70440147929,168900.78678521447,548288.5156649619,165380.09909106555,16337.858046547792,186100.45349932744,0,109759.50718175338,45602.81993455792,155362.3271163113,341462.78061563877
24,430715.1493380382,31995.272280441433,471292.89087250247,0,119324.08238373518,49576.70440147929,168900.78678521447,640193.6776577169,179695.32829455208,16664.615207478746,200830.08979097923,0,109759.50718175338,45602.81993455792,155362.3271163113,356192.4169072905
25,356681.616873742,31995.272280441433,398070.91323889565,0,119324.08238373518,49576.70440147929,168900.78678521447,566971.7000241101,210173.28165009923,16664.615207478746,231730.7383764549,0,109759.50718175338,45602.81993455792,155362.3271163113,387093.0654927662
26,350962.27974247234,32635.17772605026,393179.36203492904,0,119324.08238373518,49576.70440147929,168900.78678521447,562080.1488201434,142841.44075429792,16997.90751162832,164830.0466151807,0,109759.50718175338,45602.81993455792,155362.3271163113,320192.373731492
27,279293.5960425164,32635.177726050264,322355.01998082217,0,119324.08238373518,49576.70440147929,168900.78678521447,491255.80676603667,146657.6373487021,16997.90751162832,169086.01532680253,0,109759.50718175338,45602.81993455792,155362.3271163113,324448.34244311386
28,347191.0128852433,33287.881280571266,391113.66530231514,0,119324.08238373518,49576.70440147929,168900.78678521447,560014.4520875296,127987.5807969162,17337.865661860887,150864.52633457864,0,109759.50718175338,45602.81993455792,155362.3271163113,306226.85345088993
29,354479.5541422472,33287.881280571266,399280.65960766055,0,119324.08238373518,49576.70440147929,168900.78678521447,568181.446392875,151621.19944975385,17337.865661860887,174955.68389816955,0,109759.50718175338,45602.81993455792,155362.3271163113,330318.01101448084
30,244976.08206142063,33953.63890618269,290673.20963614224,0,119324.08238373518,49576.70440147929,168900.78678521447,459573.9964213567,149516.19084939122,17684.622975098107,173317.36498677524,0,109759.50718175338,45602.81993455792,155362.3271163113,328679.69210308656
31,253265.4506670936,33953.63890618269,299876.52079330967,0,119324.08238373518,49576.70440147929,168900.78678521447,468777.3075785241,122257.60066472739,17684.622975098107,146534.79828485908,0,109759.50718175338,45602.81993455792,155362.3271163113,301897.1254011704
32,170813.4035483022,34632.71168430635,218356.69507704253,0,119324.08238373518,49576.70440147929,168900.78678521447,387257.481862257,76042.82594080313,18038.315434600067,100805.56751333746,0,109759.50718175338,45602.81993455792,155362.3271163113,256167.89462964877
33,149705.4253988267,34632.71168430634,198199.58275814186,0,119324.08238373518,49576.70440147929,168900.78678521447,367100.3695433563,134590.85918742797,18038.315434600067,159848.85559141298,0,109759.50718175338,45602.81993455792,155362.3271163113,315211.1827077243
34,158080.8826264016,35325.36591799247,207544.9231329031,0,119324.08238373518,49576.70440147929,168900.78678521447,376445.70991811756,94714.72856749342,18399.08174329207,120477.88489955814,0,109759.50718175338,45602.81993455792,155362.3271163113,275840.21201586945
35,104529.28696843788,35325.36591799247,154982.60828506938,0,119324.08238373518,49576.70440147929,168900.78678521447,323883.39507028385,75195.10628707596,18399.08174329207,101473.52574578198,0,109759.50718175338,45602.81993455792,155362.3271163113,256835.85286209328
36,171883.5635771993,36031.87323635232,223345.9513201634,0,119324.08238373518,49576.70440147929,168900.78678521447,392246.7381053779,61207.47524048387,18767.063378157913,88011.46308836399,0,109759.50718175338,45602.81993455792,155362.3271163113,243373.7902046753
37,114157.83550913057,36031.873236352316,166649.471006954,0,119324.08238373518,49576.70440147929,168900.78678521447,335550.2577921685,39110.980071537284,18767.063378157913,66451.04767637502,0,109759.50718175338,45602.81993455792,155362.3271163113,221813.3747926863
38,19689.129440489007,36752.510701079365,73230.5976482689,0,119324.08238373518,49576.70440147929,168900.78678521447,242131.38443348336,23278.24571727291,19142.40464572107,51165.11467420739,0,109759.50718175338,45602.81993455792,155362.3271163113,206527.4417905187
39,55888.64242051781,36752.510701079365,110500.93999245329,0,119324.08238373518,49576.70440147929,168900.78678521447,279401.72677766776,24838.722224125944,19142.404645721068,53283.328560199116,0,109759.50718175338,45602.81993455792,155362.3271163113,208645.65567651042
